"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.316","B","","","3"
"2010","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.311","B","","","3"
"2011","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.306","B","","","3"
"2012","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.298","B","","","3"
"2013","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.306","B","","","3"
"2014","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.305","B","","","3"
"2015","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.302","B","","","3"
"2016","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.289","B","","","3"
"2017","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.302","B","","","3"
"2018","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.289","B","","","3"
"2019","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.291","B","","","3"
"2020","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.266","A","","","3"
"2021","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.274","A","","","3"
"2022","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.287","A","","","3"
"2023","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.293","A","","","3"
"2008","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.309","B","","","3"
"2009","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.320","B","","","3"
"2010","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.320","B","","","3"
"2011","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.326","B","","","3"
"2012","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.308","B","","","3"
"2013","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.308","B","","","3"
"2014","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.317","B","","","3"
"2015","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.322","B","","","3"
"2016","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.296","B","","","3"
"2017","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.294","A","","","3"
"2018","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.296","B","","","3"
"2019","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.291","B","","","3"
"2020","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.274","A","","","3"
