"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","92.6","","","","1"
"2014","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","94.6","","","","1"
"2015","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","96.7","","","","1"
"2016","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","97.7","","","","1"
"2017","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","100.0","","","","1"
"2018","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","101.4","","","","1"
"2019","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","103.0","","","","1"
"2020","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","107.9","","","","1"
"2021","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","110.7","","","","1"
"2022","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","117.5","","","","1"
"2023","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","121.5","","","","1"
"2008","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","84.4","","","","1"
"2009","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","87.5","","","","1"
"2010","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","88.6","","","","1"
"2011","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","91.9","","","","1"
"2012","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","93.3","","","","1"
"2013","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","95.6","","","","1"
"2014","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","96.9","","","","1"
"2015","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","97.7","","","","1"
"2016","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","98.2","","","","1"
"2017","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","100.0","","","","1"
"2018","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","101.2","","","","1"
"2019","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","103.6","","","","1"
"2020","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","107.9","","","","1"
"2021","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","110.2","","","","1"
"2022","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","113.3","","","","1"
"2023","Ontario","2016A000235","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789401","7.1.9","117.0","","","","1"
"2008","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","80.9","","","","1"
"2009","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","83.8","","","","1"
"2010","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","85.5","","","","1"
"2011","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","87.8","","","","1"
"2012","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","89.0","","","","1"
"2013","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","92.8","","","","1"
"2014","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","95.3","","","","1"
"2015","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","96.8","","","","1"
"2016","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","97.8","","","","1"
"2017","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","100.0","","","","1"
"2018","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","101.6","","","","1"
"2019","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","103.5","","","","1"
"2020","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","108.0","","","","1"
"2021","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","111.9","","","","1"
"2022","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","116.5","","","","1"
"2023","Manitoba","2016A000246","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789474","8.1.9","119.0","","","","1"
"2008","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","79.1","","","","1"
"2009","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","81.5","","","","1"
"2010","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","83.5","","","","1"
"2011","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","88.7","","","","1"
"2012","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","89.8","","","","1"
"2013","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","92.3","","","","1"
"2014","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","94.7","","","","1"
"2015","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","97.6","","","","1"
"2016","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","98.7","","","","1"
"2017","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","100.0","","","","1"
"2018","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","100.1","","","","1"
"2019","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","102.6","","","","1"
"2020","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","105.4","","","","1"
"2021","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","108.9","","","","1"
"2022","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","112.7","","","","1"
"2023","Saskatchewan","2016A000247","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789547","9.1.9","116.0","","","","1"
"2008","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","82.8","","","","1"
"2009","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","85.4","","","","1"
"2010","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","86.9","","","","1"
"2011","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","89.6","","","","1"
"2012","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","92.0","","","","1"
"2013","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","93.8","","","","1"
"2014","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","96.8","","","","1"
"2015","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","98.8","","","","1"
"2016","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","99.3","","","","1"
"2017","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","100.0","","","","1"
"2018","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","100.4","","","","1"
"2019","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","103.0","","","","1"
"2020","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","106.6","","","","1"
"2021","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","106.6","","","","1"
"2022","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","110.3","","","","1"
"2023","Alberta","2016A000248","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789620","10.1.9","112.7","","","","1"
"2008","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","85.5","","","","1"
"2009","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","87.7","","","","1"
"2010","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","88.5","","","","1"
"2011","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","89.7","","","","1"
"2012","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","91.0","","","","1"
"2013","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","93.6","","","","1"
"2014","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","96.4","","","","1"
"2015","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","97.0","","","","1"
"2016","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","97.8","","","","1"
"2017","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","100.0","","","","1"
"2018","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","101.6","","","","1"
"2019","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","105.0","","","","1"
"2020","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","109.7","","","","1"
"2021","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","110.7","","","","1"
"2022","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","115.2","","","","1"
"2023","British Columbia","2016A000259","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789693","11.1.9","120.4","","","","1"


