"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.9","","","","1"
"2015","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.7","","","","1"
"2016","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.2","","","","1"
"2017","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","6.1","","","","1"
"2018","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","5.5","","","","1"
"2019","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","5.1","","","","1"
"2020","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","8.9","","","","1"
"2021","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","6.1","","","","1"
"2022","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","4.3","","","","1"
"2023","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","4.5","","","","1"
"2024","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","5.3","","","","1"
"2008","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","6.6","","","","1"
"2009","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","9.2","","","","1"
"2010","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","8.8","","","","1"
"2011","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","8.0","","","","1"
"2012","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","8.0","","","","1"
"2013","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","7.6","","","","1"
"2014","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","7.4","","","","1"
"2015","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","6.8","","","","1"
"2016","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","6.6","","","","1"
"2017","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","6.1","","","","1"
"2018","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","5.7","","","","1"
"2019","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","5.5","","","","1"
"2020","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","9.8","","","","1"
"2021","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","8.1","","","","1"
"2022","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","5.6","","","","1"
"2023","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","5.6","","","","1"
"2024","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063546556","7.8.1.1","7.0","","","","1"
"2008","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","4.3","","","","1"
"2009","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.4","","","","1"
"2010","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.4","","","","1"
"2011","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.5","","","","1"
"2012","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.4","","","","1"
"2013","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.5","","","","1"
"2014","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.5","","","","1"
"2015","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.7","","","","1"
"2016","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","6.1","","","","1"
"2017","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.3","","","","1"
"2018","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","6.0","","","","1"
"2019","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.3","","","","1"
"2020","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","8.1","","","","1"
"2021","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","6.5","","","","1"
"2022","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","4.5","","","","1"
"2023","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","4.9","","","","1"
